condition,split
TBCE+ctrl,train
RARS+ctrl,train
WBP11+ctrl,train
RPS15A+ctrl,train
ATIC+ctrl,train
RPL18+ctrl,train
ETF1+ctrl,train
WDHD1+ctrl,train
DHX15+ctrl,train
SLC7A6OS+ctrl,train
DDX52+ctrl,train
FOXS1+ctrl,train
SART1+ctrl,train
RPS26+ctrl,train
NVL+ctrl,train
CEBPZ+ctrl,train
DTL+ctrl,train
RPP21+ctrl,train
TRIAP1+ctrl,train
SPATA5L1+ctrl,train
KIAA0586+ctrl,train
CXXC1+ctrl,train
SNRPF+ctrl,train
SCFD1+ctrl,train
ZMAT5+ctrl,train
DOHH+ctrl,train
DYNC1H1+ctrl,train
CD3EAP+ctrl,train
MED20+ctrl,train
CMTR1+ctrl,train
LZTR1+ctrl,train
ctrl,train
OPA1+ctrl,train
CCDC84+ctrl,train
ATP6AP2+ctrl,train
RBM42+ctrl,train
HSPA14+ctrl,train
UFM1+ctrl,train
PRKRA+ctrl,train
NUBP2+ctrl,train
KANSL3+ctrl,train
XPO5+ctrl,train
NUTF2+ctrl,train
EXOSC8+ctrl,train
INF2+ctrl,train
HAUS3+ctrl,train
USP14+ctrl,train
DAD1+ctrl,train
RUVBL2+ctrl,train
SRSF11+ctrl,train
PARN+ctrl,train
TOE1+ctrl,train
NAA35+ctrl,train
BTAF1+ctrl,train
HSPD1+ctrl,train
MED14+ctrl,train
YKT6+ctrl,train
METTL3+ctrl,train
PRMT5+ctrl,train
RPUSD4+ctrl,train
SNIP1+ctrl,train
RPL36+ctrl,train
ANAPC5+ctrl,train
TAF7+ctrl,train
MBNL1+ctrl,train
RPL12+ctrl,train
ACTR5+ctrl,train
ORC1+ctrl,train
EXOSC7+ctrl,train
BPTF+ctrl,train
YBX1+ctrl,train
FARS2+ctrl,train
NUDCD3+ctrl,train
AURKAIP1+ctrl,train
UNC45A+ctrl,train
RPL37A+ctrl,train
PSMD7+ctrl,train
PTPMT1+ctrl,train
HAUS4+ctrl,train
CHCHD3+ctrl,train
CCDC115+ctrl,train
WDR18+ctrl,train
AP2M1+ctrl,train
PRPF18+ctrl,train
DNM2+ctrl,train
METTL14+ctrl,train
SF3B5+ctrl,train
PGS1+ctrl,train
STAT5B+ctrl,train
CENPP+ctrl,train
RANBP2+ctrl,train
IST1+ctrl,train
GTF3C1+ctrl,train
LRP5+ctrl,train
SETD5+ctrl,train
AARS+ctrl,train
RPE+ctrl,train
IPO9+ctrl,train
NCAPG+ctrl,train
NDC80+ctrl,train
TMX2+ctrl,train
CFL1+ctrl,train
ZC3H4+ctrl,train
EIF4G1+ctrl,train
BRD2+ctrl,train
ZBTB17+ctrl,train
C19orf25+ctrl,train
RNF20+ctrl,train
THAP1+ctrl,train
IARS2+ctrl,train
METTL16+ctrl,train
CAPZB+ctrl,train
PRPF31+ctrl,train
EIF4B+ctrl,train
RPUSD3+ctrl,train
ATP6V1G1+ctrl,train
ATL2+ctrl,train
PI4KA+ctrl,train
ATF5+ctrl,train
ATP6V1H+ctrl,train
BGLAP+ctrl,train
METAP1+ctrl,train
CNIH4+ctrl,train
MYC+ctrl,train
ESYT1+ctrl,train
SDC1+ctrl,train
ADAT3+ctrl,train
LENG8+ctrl,train
FBXW7+ctrl,train
BRIX1+ctrl,train
RUVBL1+ctrl,train
SUPT20H+ctrl,train
SRP68+ctrl,train
DHDDS+ctrl,train
PRXL2A+ctrl,train
SDAD1+ctrl,train
THG1L+ctrl,train
LSM12+ctrl,train
KDM1A+ctrl,train
NASP+ctrl,train
COPB1+ctrl,train
IK+ctrl,train
CENPI+ctrl,train
OSBP+ctrl,train
TPR+ctrl,train
INTS5+ctrl,train
SNTB2+ctrl,train
ATP6V1E1+ctrl,train
PNPT1+ctrl,train
TONSL+ctrl,train
CCT3+ctrl,train
EIF4A1+ctrl,train
SNRPD1+ctrl,train
THRAP3+ctrl,train
SRSF7+ctrl,train
BAG6+ctrl,train
ANKRD11+ctrl,train
PRDM8+ctrl,train
HNRNPH1+ctrl,train
ABT1+ctrl,train
ACTR10+ctrl,train
SNW1+ctrl,train
DHX36+ctrl,train
SRCAP+ctrl,train
PIK3C3+ctrl,train
NSRP1+ctrl,train
MTPAP+ctrl,train
PPIL2+ctrl,train
ZMAT2+ctrl,train
PALB2+ctrl,train
PRPF4+ctrl,train
NKAP+ctrl,train
PPP1R37+ctrl,train
MEIS3+ctrl,train
ATP2A2+ctrl,train
EARS2+ctrl,train
ARL2+ctrl,train
NDOR1+ctrl,train
SYS1+ctrl,train
RAB6A+ctrl,train
PSMA3+ctrl,train
LAMTOR3+ctrl,train
ZNHIT2+ctrl,train
QARS+ctrl,train
ECD+ctrl,train
RTF1+ctrl,train
MARS+ctrl,train
TAF11+ctrl,train
SMC1A+ctrl,train
CDK9+ctrl,train
CDC16+ctrl,train
CINP+ctrl,train
PPA1+ctrl,train
RPL39+ctrl,train
CLP1+ctrl,train
NPLOC4+ctrl,train
PSMC5+ctrl,train
COPS2+ctrl,train
COG6+ctrl,train
ZNF236+ctrl,train
YARS+ctrl,train
DR1+ctrl,train
ABCF1+ctrl,train
DDX21+ctrl,train
EIF4A3+ctrl,train
DYNC1I2+ctrl,train
DNAJC8+ctrl,train
STX5+ctrl,train
EEFSEC+ctrl,train
SETX+ctrl,train
MPHOSPH6+ctrl,train
NAF1+ctrl,train
PTGR2+ctrl,train
SACM1L+ctrl,train
RPS19BP1+ctrl,train
LSM10+ctrl,train
MED8+ctrl,train
SUGP1+ctrl,train
PPP1R8+ctrl,train
NAPG+ctrl,train
COASY+ctrl,train
MIS18BP1+ctrl,train
TINF2+ctrl,train
GTF3C6+ctrl,train
CFDP1+ctrl,train
USP5+ctrl,train
SMU1+ctrl,train
ISY1+ctrl,train
SSU72+ctrl,train
PRPF19+ctrl,train
SNAPC2+ctrl,train
RPL23A+ctrl,train
SRSF1+ctrl,train
EXOSC5+ctrl,train
RFC5+ctrl,train
KIF18A+ctrl,train
BRCA2+ctrl,train
CHMP3+ctrl,train
VPS28+ctrl,train
TPX2+ctrl,train
GBF1+ctrl,train
MCM2+ctrl,train
TRNT1+ctrl,train
RAB4A+ctrl,train
CWC15+ctrl,train
TAF2+ctrl,train
EXOC1+ctrl,train
SRP54+ctrl,train
PHB+ctrl,train
CALR+ctrl,train
ISCA2+ctrl,train
NEDD1+ctrl,train
SFPQ+ctrl,train
LONP1+ctrl,train
PYROXD1+ctrl,train
GTPBP4+ctrl,train
RPL31+ctrl,train
SPATA5+ctrl,train
CPSF6+ctrl,train
FNBP4+ctrl,train
NUDC+ctrl,train
PSME1+ctrl,train
PPARGC1B+ctrl,train
NAA15+ctrl,train
GABPB1+ctrl,train
GINS2+ctrl,train
UQCRB+ctrl,train
STIL+ctrl,train
PRPF3+ctrl,train
PAFAH1B1+ctrl,train
WDR44+ctrl,train
NCBP1+ctrl,train
GAPDH+ctrl,train
TADA2A+ctrl,train
ELP4+ctrl,train
CYFIP1+ctrl,train
DPH3+ctrl,train
PPP2CB+ctrl,train
MON1A+ctrl,train
MED24+ctrl,train
PSMB5+ctrl,train
PARS2+ctrl,train
RBM39+ctrl,train
RPL24+ctrl,train
RNPS1+ctrl,train
JMJD6+ctrl,train
RBMX2+ctrl,train
TBP+ctrl,train
ANAPC2+ctrl,train
SNRPB+ctrl,train
NFYC+ctrl,train
RBM17+ctrl,train
CCNK+ctrl,train
ELOF1+ctrl,train
IRF2BP2+ctrl,train
MRPL38+ctrl,train
SNAPC1+ctrl,train
TMEM258+ctrl,train
YAE1+ctrl,train
GINS1+ctrl,train
TERF2+ctrl,train
URM1+ctrl,train
SNRNP48+ctrl,train
PES1+ctrl,train
PGK1+ctrl,train
RFT1+ctrl,train
OGFOD1+ctrl,train
CYC1+ctrl,train
CRKL+ctrl,train
GIT2+ctrl,train
TUBA1B+ctrl,train
ATP11B+ctrl,train
PSMD13+ctrl,train
CASP8AP2+ctrl,train
INPPL1+ctrl,train
OTX1+ctrl,train
TSG101+ctrl,train
RFC1+ctrl,train
MED16+ctrl,train
RBM15+ctrl,train
EMC3+ctrl,train
SASS6+ctrl,train
RBMX+ctrl,train
CDC73+ctrl,train
SNRPC+ctrl,train
CCDC59+ctrl,train
DRAP1+ctrl,train
RPS8+ctrl,train
TUT1+ctrl,train
UBA2+ctrl,train
MMP17+ctrl,train
CSTF1+ctrl,train
RNF103+ctrl,train
PCBP1+ctrl,train
TIMM44+ctrl,train
TOP3A+ctrl,train
FAM32A+ctrl,train
RAN+ctrl,train
TP53RK+ctrl,train
RGPD6+ctrl,train
TUBB2A+ctrl,train
CCNC+ctrl,train
KPNA6+ctrl,train
DNMT1+ctrl,train
USP10+ctrl,train
CARS+ctrl,train
SRSF3+ctrl,train
GSPT1+ctrl,train
UTP3+ctrl,train
MDN1+ctrl,train
LPIN1+ctrl,train
ATP6V0D1+ctrl,train
ABCB10+ctrl,train
NEDD8+ctrl,train
PXN+ctrl,train
ARPC3+ctrl,train
UTP15+ctrl,train
RPAIN+ctrl,train
UBA5+ctrl,train
GGPS1+ctrl,train
POLR2I+ctrl,train
INO80C+ctrl,train
NUP214+ctrl,train
UBA1+ctrl,train
LEO1+ctrl,train
NFS1+ctrl,train
INTS3+ctrl,train
RPL7L1+ctrl,train
LAMTOR1+ctrl,train
CDC123+ctrl,train
BTF3+ctrl,train
TADA1+ctrl,train
RPA2+ctrl,train
PSMC2+ctrl,train
KIN+ctrl,train
NOP9+ctrl,train
YTHDC1+ctrl,train
HUS1+ctrl,train
RPLP0+ctrl,train
SBDS+ctrl,train
RPN1+ctrl,train
HNRNPA1+ctrl,train
CCNH+ctrl,train
RPL30+ctrl,train
HUWE1+ctrl,train
POLR2E+ctrl,train
RPS6+ctrl,train
EIF4G2+ctrl,train
GMIP+ctrl,train
GTF2H2+ctrl,train
NELFCD+ctrl,train
KRI1+ctrl,train
VPS29+ctrl,train
ESPL1+ctrl,train
PPIE+ctrl,train
GFOD2+ctrl,train
CUL2+ctrl,train
SYMPK+ctrl,train
ZNF292+ctrl,train
PGAM1+ctrl,train
DDX41+ctrl,train
TANGO6+ctrl,train
MTOR+ctrl,train
AFG3L2+ctrl,train
PPP1CA+ctrl,train
PDCD2+ctrl,train
WNK1+ctrl,train
ACD+ctrl,train
RCL1+ctrl,train
GRB2+ctrl,train
ATP6V1B2+ctrl,train
MED6+ctrl,train
XRCC6+ctrl,train
TMED2+ctrl,train
RNF113A+ctrl,train
RPL23+ctrl,train
USF2+ctrl,train
RPL6+ctrl,train
SUDS3+ctrl,train
ACTR2+ctrl,train
RAD21+ctrl,train
DDX17+ctrl,train
HGS+ctrl,train
OLFML3+ctrl,train
PSMB4+ctrl,train
PET117+ctrl,train
MAGOH+ctrl,train
AATF+ctrl,train
SMG9+ctrl,train
IARS+ctrl,train
CBLL1+ctrl,train
PCID2+ctrl,train
SNAPC3+ctrl,train
HAUS7+ctrl,train
PIGH+ctrl,train
KPNB1+ctrl,train
SENP6+ctrl,train
GEMIN8+ctrl,train
INO80E+ctrl,train
BMS1+ctrl,train
ELL+ctrl,train
TAF10+ctrl,train
NOMO3+ctrl,train
KANSL1+ctrl,train
C9orf16+ctrl,train
EXOSC2+ctrl,train
POLRMT+ctrl,train
NBPF12+ctrl,train
CENPH+ctrl,train
ACSS2+ctrl,train
RRP9+ctrl,train
USPL1+ctrl,train
TUBG1+ctrl,train
CAST+ctrl,train
TREX2+ctrl,train
PCM1+ctrl,train
ZNF720+ctrl,train
EIF4E+ctrl,train
RCCD1+ctrl,train
RBM4+ctrl,train
USP39+ctrl,train
SMC4+ctrl,train
IGBP1+ctrl,train
DCTN6+ctrl,train
POLA2+ctrl,train
RSL1D1+ctrl,train
UXT+ctrl,train
CKAP5+ctrl,train
S100A1+ctrl,train
LAS1L+ctrl,train
MCM7+ctrl,train
DDX10+ctrl,train
NAA30+ctrl,train
RPS9+ctrl,train
POLR2M+ctrl,train
RPL18A+ctrl,train
GPKOW+ctrl,train
GTF3C5+ctrl,train
ANAPC1+ctrl,train
RPL17+ctrl,train
PNN+ctrl,train
NARS+ctrl,train
SMG1+ctrl,train
TGS1+ctrl,train
HMGB3+ctrl,train
COQ4+ctrl,train
PPP1R2+ctrl,train
VPS54+ctrl,train
FBXL14+ctrl,train
EIF3A+ctrl,train
POLR1C+ctrl,train
ATP5F1C+ctrl,train
ZC3H13+ctrl,train
ALG2+ctrl,train
SHQ1+ctrl,train
ACTB+ctrl,train
DNAJA3+ctrl,train
RPL3+ctrl,train
PFN1+ctrl,train
PDPK1+ctrl,train
OSGEP+ctrl,train
VPS18+ctrl,train
EIF2B4+ctrl,train
EMC4+ctrl,train
TMED10+ctrl,train
RANGAP1+ctrl,train
RPS19+ctrl,train
SNRPE+ctrl,train
DCUN1D5+ctrl,train
INTS12+ctrl,train
ABCE1+ctrl,train
DYNLRB1+ctrl,train
UTP18+ctrl,train
EIF1AX+ctrl,train
TELO2+ctrl,train
PSMD14+ctrl,train
PSMB7+ctrl,train
PMPCB+ctrl,train
PABPC1+ctrl,train
PMPCA+ctrl,train
DHX37+ctrl,train
RPLP2+ctrl,train
TAF1D+ctrl,train
HNRNPL+ctrl,train
NAA10+ctrl,train
CENPJ+ctrl,train
EPB41L2+ctrl,train
NCAPD2+ctrl,train
ZDHHC7+ctrl,train
TNPO3+ctrl,train
RPS13+ctrl,train
DDX23+ctrl,train
POLD2+ctrl,train
ZNF559+ctrl,train
AKIRIN2+ctrl,train
CPEB1+ctrl,train
COTL1+ctrl,train
WTAP+ctrl,train
EIF2B2+ctrl,train
MRTO4+ctrl,train
SRSF6+ctrl,train
LSM7+ctrl,train
TRMT6+ctrl,train
EBNA1BP2+ctrl,train
TSR1+ctrl,train
SMG6+ctrl,train
SMC2+ctrl,train
KLHL17+ctrl,train
DGCR8+ctrl,train
WDR70+ctrl,train
CNOT11+ctrl,train
ZFR+ctrl,train
PPP1R11+ctrl,train
UBTF+ctrl,train
MRM1+ctrl,train
COPS5+ctrl,train
INTS13+ctrl,train
EXOC5+ctrl,train
PMF1+ctrl,train
ZNF718+ctrl,train
NUP35+ctrl,train
POLR3E+ctrl,train
TIMM10+ctrl,train
NSMCE2+ctrl,train
GART+ctrl,train
UPF2+ctrl,train
PHAX+ctrl,train
ANKRD17+ctrl,train
TRMT112+ctrl,train
PSMD6+ctrl,train
SNRPD2+ctrl,train
EIF2B3+ctrl,train
NFKBIE+ctrl,train
IPO13+ctrl,train
HDAC3+ctrl,train
RPL35A+ctrl,train
NFYB+ctrl,train
SIRT7+ctrl,train
SFSWAP+ctrl,train
NUP160+ctrl,train
TUBGCP2+ctrl,train
RPS29+ctrl,train
HJURP+ctrl,train
CYREN+ctrl,train
CACTIN+ctrl,train
NDUFA2+ctrl,train
BUD31+ctrl,train
SMG7+ctrl,train
BUB1B+ctrl,train
EP400+ctrl,train
RPL34+ctrl,train
PRKCA+ctrl,train
EXOSC1+ctrl,train
LIN52+ctrl,train
IWS1+ctrl,train
SNRNP27+ctrl,train
RPA1+ctrl,train
CCT7+ctrl,train
GNL2+ctrl,train
PHF5A+ctrl,train
MEX3A+ctrl,train
GTF2F2+ctrl,train
UCHL5+ctrl,train
EXOC3+ctrl,train
RPL11+ctrl,train
BRF1+ctrl,train
RPS10+ctrl,train
CPSF4+ctrl,train
PPP1R10+ctrl,train
RAB18+ctrl,train
LSM4+ctrl,train
SPG7+ctrl,train
SCAP+ctrl,train
POP1+ctrl,train
PIK3R4+ctrl,train
PSMC1+ctrl,train
PRDM4+ctrl,train
INTS10+ctrl,train
GFM1+ctrl,train
FXN+ctrl,train
PTK2+ctrl,train
RBM25+ctrl,train
PIAS1+ctrl,train
UBE2L3+ctrl,train
SART3+ctrl,train
EWSR1+ctrl,train
NIFK+ctrl,train
ELP3+ctrl,train
SNRNP40+ctrl,train
MED4+ctrl,train
BET1+ctrl,train
PRPF4B+ctrl,train
INO80+ctrl,train
RBBP4+ctrl,train
RNF8+ctrl,train
GARS+ctrl,train
PCNA+ctrl,train
EIF3B+ctrl,train
DENR+ctrl,train
JAZF1+ctrl,train
EIF1+ctrl,train
LSM2+ctrl,train
SEPSECS+ctrl,train
CHORDC1+ctrl,train
MMS19+ctrl,train
DDX56+ctrl,train
CNOT2+ctrl,train
TAMM41+ctrl,train
ZNF335+ctrl,train
RPRD1B+ctrl,train
BCAR1+ctrl,train
MVK+ctrl,train
POLR3B+ctrl,train
NDUFV2+ctrl,train
RNASEH2C+ctrl,train
PNISR+ctrl,train
VPS72+ctrl,train
NUP88+ctrl,train
ERCC3+ctrl,train
RAD51C+ctrl,train
ATXN10+ctrl,train
MLLT6+ctrl,train
SAP30BP+ctrl,train
LARS+ctrl,train
DDX19A+ctrl,train
LETM1+ctrl,train
TRAPPC4+ctrl,train
CPSF1+ctrl,train
HAUS1+ctrl,train
RPP30+ctrl,train
SBNO1+ctrl,train
CEP85+ctrl,train
STAG2+ctrl,train
GUCD1+ctrl,train
CCT8+ctrl,train
WEE1+ctrl,train
MYSM1+ctrl,train
PTCD1+ctrl,train
NUBP1+ctrl,train
RPTOR+ctrl,train
PDAP1+ctrl,train
PABPN1+ctrl,train
DHX33+ctrl,train
SMN2+ctrl,train
DHX16+ctrl,train
RFC4+ctrl,train
HSCB+ctrl,train
GEMIN4+ctrl,train
DPH1+ctrl,train
FARSA+ctrl,train
POLA1+ctrl,train
RBX1+ctrl,train
UPF1+ctrl,train
STRAP+ctrl,train
DDX1+ctrl,train
BOP1+ctrl,train
VPS33A+ctrl,train
UBAP1+ctrl,train
TTI1+ctrl,train
VPS35+ctrl,train
EIF3E+ctrl,train
ABCB7+ctrl,train
CD2BP2+ctrl,train
MRPL20+ctrl,train
MCM3AP+ctrl,train
TIMM9+ctrl,train
POLR1E+ctrl,train
SRF+ctrl,train
MRPL32+ctrl,train
CCT6A+ctrl,train
PDCD5+ctrl,train
TUBGCP5+ctrl,train
CENPW+ctrl,train
SRP19+ctrl,train
UBE2M+ctrl,train
CENPE+ctrl,train
MMS22L+ctrl,train
RPS7+ctrl,train
DNAJC17+ctrl,train
PDCD11+ctrl,train
NUP205+ctrl,train
PSMB2+ctrl,train
HNRNPR+ctrl,train
PHF10+ctrl,train
ZRSR2+ctrl,train
TMEM161B+ctrl,train
PPP2R3C+ctrl,train
CHCHD4+ctrl,train
EXOSC4+ctrl,train
TICRR+ctrl,train
RAMAC+ctrl,train
ARHGAP6+ctrl,train
CENPC+ctrl,train
URB2+ctrl,train
DDOST+ctrl,train
HAUS5+ctrl,train
TLN1+ctrl,train
PSMB6+ctrl,train
NSF+ctrl,train
NRF1+ctrl,train
DCTN4+ctrl,train
CDK1+ctrl,train
RPL28+ctrl,train
ATRIP+ctrl,train
BUD13+ctrl,train
CDC27+ctrl,train
BANF1+ctrl,train
PCF11+ctrl,train
KLF7+ctrl,train
INTS9+ctrl,train
NDUFA3+ctrl,train
USP7+ctrl,train
TRAPPC5+ctrl,train
EXOSC9+ctrl,train
PSMA4+ctrl,train
CNOT9+ctrl,train
TSR2+ctrl,train
NAE1+ctrl,train
CLASRP+ctrl,train
COG1+ctrl,train
RFC3+ctrl,train
PSMD1+ctrl,train
SMARCE1+ctrl,train
CDK2+ctrl,train
CCDC137+ctrl,train
RNPC3+ctrl,train
KCTD10+ctrl,train
HAUS8+ctrl,train
RPL35+ctrl,train
ANAPC11+ctrl,train
SYNGR3+ctrl,train
GTF2A2+ctrl,train
RBBP8+ctrl,train
PPRC1+ctrl,train
TFDP1+ctrl,train
SNRNP70+ctrl,train
EXOC7+ctrl,train
GON4L+ctrl,train
ELP6+ctrl,train
INTS1+ctrl,train
SRA1+ctrl,train
C5orf30+ctrl,train
PDRG1+ctrl,train
RPL10+ctrl,train
NOC3L+ctrl,train
NCL+ctrl,train
TIMM23B+ctrl,train
DSTYK+ctrl,train
NRBP1+ctrl,train
VARS+ctrl,train
TFRC+ctrl,train
MRPS34+ctrl,train
PPP2R1A+ctrl,train
CUL1+ctrl,train
WDR33+ctrl,train
GRWD1+ctrl,train
ARGLU1+ctrl,train
BNIP1+ctrl,train
HSPA5+ctrl,train
CS+ctrl,train
BCL2L1+ctrl,train
TEN1+ctrl,val
EIF3J+ctrl,val
SERBP1+ctrl,val
TP53I13+ctrl,val
SAE1+ctrl,val
ICE1+ctrl,val
SF3B4+ctrl,val
PEX19+ctrl,val
WDR12+ctrl,val
SKP1+ctrl,val
RPL9+ctrl,val
WAC+ctrl,val
DDX54+ctrl,val
PSMA2+ctrl,val
UBA3+ctrl,val
PELP1+ctrl,val
YEATS2+ctrl,val
LSM5+ctrl,val
SMARCB1+ctrl,val
RAC1+ctrl,val
TRAPPC8+ctrl,val
CNOT1+ctrl,val
UBE2H+ctrl,val
CCAR1+ctrl,val
MED7+ctrl,val
NACA+ctrl,val
CPNE7+ctrl,val
WDR26+ctrl,val
MAX+ctrl,val
PDCD7+ctrl,val
RNGTT+ctrl,val
SIN3A+ctrl,val
ALDOA+ctrl,val
MFAP1+ctrl,val
MRGBP+ctrl,val
VPS13D+ctrl,val
DDB1+ctrl,val
PABPC4+ctrl,val
CENPK+ctrl,val
NUB1+ctrl,val
MRPL36+ctrl,val
PSMD11+ctrl,val
NMD3+ctrl,val
VHL+ctrl,val
SLC25A42+ctrl,val
GTF2E1+ctrl,val
KAT5+ctrl,val
TPRKB+ctrl,val
CUL3+ctrl,val
U2AF2+ctrl,val
ANAPC13+ctrl,val
MAT2A+ctrl,val
URB1+ctrl,val
CLTC+ctrl,val
WDR24+ctrl,val
FBXO42+ctrl,val
RTRAF+ctrl,val
EIF3CL+ctrl,val
SNRNP25+ctrl,val
MNAT1+ctrl,val
FAM50A+ctrl,val
LSG1+ctrl,val
FYN+ctrl,val
SRP72+ctrl,val
PAXBP1+ctrl,val
NCAPH+ctrl,val
RPS24+ctrl,val
SDHC+ctrl,val
PRIM1+ctrl,val
